================================
GNN training sweep
Job ID: 242695
Task ID: 24
Buffer size: 20
Rollout length: 1
================================
Running GNN sweep: dataset=Net1, buffer=20, rollout=1
Epoch 1/600, Total: 2102.620843, Node: 1292.250772, Link: 809.643896, Spread: 72.617835
Epoch 2/600, Total: 1976.400061, Node: 1224.942849, Link: 751.169420, Spread: 28.779393
Epoch 3/600, Total: 1948.481616, Node: 1205.600164, Link: 742.754889, Spread: 12.655851
Epoch 4/600, Total: 1924.592364, Node: 1188.024761, Link: 736.501200, Spread: 6.640298
Epoch 5/600, Total: 1903.538120, Node: 1172.183446, Link: 731.314196, Spread: 4.047406
Epoch 6/600, Total: 1893.103967, Node: 1164.468019, Link: 728.606108, Spread: 2.984402
Epoch 7/600, Total: 1874.407027, Node: 1150.196878, Link: 724.185298, Spread: 2.485924
Epoch 8/600, Total: 1855.974662, Node: 1136.403882, Link: 719.548819, Spread: 2.196472
Epoch 9/600, Total: 1870.958331, Node: 1136.347267, Link: 734.590987, Spread: 2.007852
Epoch 10/600, Total: 1867.177112, Node: 1130.869348, Link: 736.288886, Spread: 1.887598
Epoch 11/600, Total: 1860.311373, Node: 1125.487145, Link: 734.806225, Spread: 1.800160
Epoch 12/600, Total: 1867.455840, Node: 1133.745921, Link: 733.693507, Spread: 1.640909
Epoch 13/600, Total: 1858.472914, Node: 1125.489874, Link: 732.967223, Spread: 1.581641
Epoch 14/600, Total: 1851.798200, Node: 1119.788324, Link: 731.994178, Spread: 1.569656
Epoch 15/600, Total: 1847.187363, Node: 1116.044119, Link: 731.127613, Spread: 1.562889
Epoch 16/600, Total: 1843.637205, Node: 1113.299614, Link: 730.321950, Spread: 1.564300
Epoch 17/600, Total: 1840.753273, Node: 1111.133488, Link: 729.603999, Spread: 1.578020
Epoch 18/600, Total: 1838.447879, Node: 1109.503991, Link: 728.927833, Spread: 1.605354
Epoch 19/600, Total: 1835.881876, Node: 1107.679419, Link: 728.185985, Spread: 1.647597
Epoch 20/600, Total: 1833.624924, Node: 1106.163537, Link: 727.444367, Spread: 1.702124
Epoch 21/600, Total: 1831.690742, Node: 1104.832251, Link: 726.844902, Spread: 1.358619
Epoch 22/600, Total: 1829.136824, Node: 1103.337049, Link: 725.785797, Spread: 1.397463
Epoch 23/600, Total: 1827.037176, Node: 1101.958237, Link: 725.064341, Spread: 1.459743
Epoch 24/600, Total: 1842.196126, Node: 1117.747434, Link: 724.433814, Spread: 1.487477
Epoch 25/600, Total: 1831.033264, Node: 1106.999739, Link: 724.018428, Spread: 1.509953
Epoch 26/600, Total: 1825.381668, Node: 1101.929000, Link: 723.437287, Spread: 1.538213
